That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
It's Doc's whisky glass, mostly empty right now.	It's Doc's whisky glass, mostly empty right now.
You pick up the whisky glass.	You pick up the whisky glass.
It's one of Sam's rickety old tables.	It's one of Sam's rickety old tables.
There's nothing on it worth taking, and you can't move it.	There's nothing on it worth taking, and you can't move it.
It's the table usually reserved for the guys who play poker. And the women who love them!	It's the table usually reserved for the guys who play poker. And the women who love them!
You're not the type to gamble. In other words, you're POOR!	You're not the type to gamble. In other words, you're POOR!
You don't want to start playing Poker with this guy. He's known far and wide as a cheat. In fact, if you could catch him red-handed, you might be able to stop him before he wins away every last piece of property in town!	You don't want to start playing Poker with this guy. He's known far and wide as a cheat. In fact, if you could catch him red-handed, you might be able to stop him before he wins away every last piece of property in town!
There won't be another poker game here for quite awhile.	There won't be another poker game here for quite awhile.
Ah'm gonna have to arrest yew for attempted murder, stranger. Yew shouldna' oughtta shot him in cold blood like that. Gamblin, ah kin overlook; suspicious accidents, ah kin overlook; unfortunate co-inky-dinks, ah kin overlook. But you shot this boy straight out, son. Hate to hear whut th' Judge is gonna have to say about this! Why, I think yer gonna HANG, boy!	Ah'm gonna have to arrest yew for attempted murder, stranger. Yew shouldna' oughtta shot him in cold blood like that. Gamblin, ah kin overlook; suspicious accidents, ah kin overlook; unfortunate co-inky-dinks, ah kin overlook. But you shot this boy straight out, son. Hate to hear whut th' Judge is gonna have to say about this! Why, I think yer gonna HANG, boy!
This is a chandelier. Most nights you can find at least one or two drunk 'n' rowdy cowhands swinging from this thing. Business must be a mite slow today.	This is a chandelier. Most nights you can find at least one or two drunk 'n' rowdy cowhands swinging from this thing. Business must be a mite slow today.
It's way over your head. Like most of these jokes!	It's way over your head. Like most of these jokes!
It's Baa-Bara Mandrill and the Baa-bettes, stars of stage, screen and barnyard!	It's Baa-Bara Mandrill and the Baa-bettes, stars of stage, screen and barnyard!
Shear it off! Shear it |c2|ALL|c| off!	Shear it off! Shear it |c2|ALL|c| off!
Don't touch 'em, you'll throw off their timing. Besides, the lanolin will make your hands soft and squishy like a girl's.	Don't touch 'em, you'll throw off their timing. Besides, the lanolin will make your hands soft and squishy like a girl's.
It's Neville Shute, The Piano Player. He's Doing the Best He Can!	It's Neville Shute, The Piano Player. He's Doing the Best He Can!
Play it, Neville.	Play it, Neville.
Neville, in order not to lose track of the piece he's playing, says nothing. However, he raises his eyebrows as if to say, "Certainly, sir, I'll be happy to play whatever selection you'd care to hear, and what's more, I'll make this old piano sound like a whole orchestra!"	Neville, in order not to lose track of the piece he's playing, says nothing. However, he raises his eyebrows as if to say, "Certainly, sir, I'll be happy to play whatever selection you'd care to hear, and what's more, I'll make this old piano sound like a whole orchestra!"
Don't throttle him, he's doing the best he can.	Don't throttle him, he's doing the best he can.
Neville Shute earns a good salary, plus tips. He doesn't need your contributions.	Neville Shute earns a good salary, plus tips. He doesn't need your contributions.
Hey! You're not supposed to shoot him! If you don't like his music, turn down your volume!	Hey! You're not supposed to shoot him! If you don't like his music, turn down your volume!
It's Ollie Oxenfree, the guy who owns the fig farms on the northern side of Collier Bluff! He's the worst gambler in town! He'll lose the entire North 40 in no time!	It's Ollie Oxenfree, the guy who owns the fig farms on the northern side of Collier Bluff! He's the worst gambler in town! He'll lose the entire North 40 in no time!
Ollie, listen to me! Don't do it! It's not worth it!	Ollie, listen to me! Don't do it! It's not worth it!
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes longer.	Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes longer.
Ollie ignores you. Apparently he's a little preoccupied with this "losing your home and livelihood" business.	Ollie ignores you. Apparently he's a little preoccupied with this "losing your home and livelihood" business.
Don't bother trying to distract Ollie with doodads and knicknacks. His attention is firmly established elsewise.	Don't bother trying to distract Ollie with doodads and knicknacks. His attention is firmly established elsewise.
Ollie's not worth shooting. However, he IS worth hanging. Maybe in the sequel?	Ollie's not worth shooting. However, he IS worth hanging. Maybe in the sequel?
Hey, these chairs don't have any chewing gum stuck to the undersides! But look out for wads of chewing tobacco.	Hey, these chairs don't have any chewing gum stuck to the undersides! But look out for wads of chewing tobacco.
Those chairs are for drinking customers only, and if I'm not mistaken, you're the Designated Hero this week.	Those chairs are for drinking customers only, and if I'm not mistaken, you're the Designated Hero this week.
Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children, and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper, too?)	Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children, and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper, too?)
Hey, Cooper! Don't do it! You'll lose everything!	Hey, Cooper! Don't do it! You'll lose everything!
He ignores you. You're spoiling his lack of concentration!	He ignores you. You're spoiling his lack of concentration!
Don't bother him now, he's trying to recoop his losses!	Don't bother him now, he's trying to recoop his losses!
Cooper apparently isn't interested in "Show 'n Tell."	Cooper apparently isn't interested in "Show 'n Tell."
But... but Cooper's got a wife and kids! Maybe that's why he's in the Saloon?	But... but Cooper's got a wife and kids! Maybe that's why he's in the Saloon?
That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started gambling today -- a huge tract of land along the south side of town, where Chinatown used to be.	That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started gambling today -- a huge tract of land along the south side of town, where Chinatown used to be.
Hey, Muff! Don't play with this guy, he cheats!	Hey, Muff! Don't play with this guy, he cheats!
Muff nods his head in agreement, then returns to playing. Muff's never been too bright.	Muff nods his head in agreement, then returns to playing. Muff's never been too bright.
Don't poke him right now, he's concentrating on losing everything. And he's doing very well!	Don't poke him right now, he's concentrating on losing everything. And he's doing very well!
Don't bother giving that to Muff. He'll just gamble it away.	Don't bother giving that to Muff. He'll just gamble it away.
You'd shoot poor ol' Muff? Shame, shame!	You'd shoot poor ol' Muff? Shame, shame!
That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap. And "trap" it is! He trapped a couple of punks in there a few years back, Tom and Becky something or other. They almost didn't get out. Somebody oughtta write a book about it!	That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap. And "trap" it is! He trapped a couple of punks in there a few years back, Tom and Becky something or other. They almost didn't get out. Somebody oughtta write a book about it!
You're gambling the Tourist Center away? Say it ain't so, Joe!	You're gambling the Tourist Center away? Say it ain't so, Joe!
Joe grunts. That's the most you've ever heard him say!	Joe grunts. That's the most you've ever heard him say!
Don't poke this guy. He's mean.	Don't poke this guy. He's mean.
Joe is far too proud and noble to take what you have to give him. He'd rather steal it!	Joe is far too proud and noble to take what you have to give him. He'd rather steal it!
You can't shoot a man for gambling! Well, maybe in SOME states.	You can't shoot a man for gambling! Well, maybe in SOME states.
Three mean-looking hombres sit up close to the stage. Upon closer examination, you see that they're drinking wine spritzers. Maybe they're not so mean after all.	Three mean-looking hombres sit up close to the stage. Upon closer examination, you see that they're drinking wine spritzers. Maybe they're not so mean after all.
Welcome to Coarsegold, strangers! I haven't seen you around these parts before. You new in town?	Welcome to Coarsegold, strangers! I haven't seen you around these parts before. You new in town?
You hear the unmistakable sound of grinding and cracking teeth. You hear the splitting, tearing sound of six severely chapped lips curling up in ugly sneers. You hear the pop of knuckles as three trigger fingers flex in readiness. You decide your friendly, offhand comments have been misinterpreted.	You hear the unmistakable sound of grinding and cracking teeth. You hear the splitting, tearing sound of six severely chapped lips curling up in ugly sneers. You hear the pop of knuckles as three trigger fingers flex in readiness. You decide your friendly, offhand comments have been misinterpreted.
You don't want to touch these hombres. They don't look like they're into close physical contact.	You don't want to touch these hombres. They don't look like they're into close physical contact.
They don't want it.	They don't want it.
As you cock the hammers back on your pistols... you suddenly hear a whole CHORUS of pistols make the same sound. You gently ease the hammer forward, slowly, without making any sudden moves. Smart boy.	As you cock the hammers back on your pistols... you suddenly hear a whole CHORUS of pistols make the same sound. You gently ease the hammer forward, slowly, without making any sudden moves. Smart boy.
Without warning, you hear gunshots out in front of the Saloon, plus lots of yelling and shouting. What's going on out there?	Without warning, you hear gunshots out in front of the Saloon, plus lots of yelling and shouting. What's going on out there?
The Ballad of the Frontier Pharmacist	The Ballad of the Frontier Pharmacist
Revolucion Numero 9	Revolucion Numero 9
I've Grown Accustomed to Your Ace	I've Grown Accustomed to Your Ace
Hot Lead in the Old Town Tonight	Hot Lead in the Old Town Tonight
The Varmint of Baghdad	The Varmint of Baghdad
Gunrise, Gunset	Gunrise, Gunset
When You Say Blood	When You Say Blood
Zircon Jim's Theme	Zircon Jim's Theme
Singh Sungh Blue	Singh Sungh Blue
My Sweet Cranky Ol' Mom	My Sweet Cranky Ol' Mom
Play it, Neville. Play...	Play it, Neville. Play...
Rewind	Rewind
Rewind-O-Matic	Rewind-O-Matic
Be Kind! Please Rewind!	Be Kind! Please Rewind!
The brass rail runs along the length of the bar.	The brass rail runs along the length of the bar.
But you don't know where that bar rail has been!	But you don't know where that bar rail has been!
Hey, you wouldn't want to do me a little favor, would you? Kinda distract Aces so's I can get a shot off?	Hey, you wouldn't want to do me a little favor, would you? Kinda distract Aces so's I can get a shot off?
What's in it for me?	What's in it for me?
Nice 'tude.	Nice 'tude.
You can't reach him now. Throttle him later, once you've settled with Aces.	You can't reach him now. Throttle him later, once you've settled with Aces.
Goodness, the Saloon sure filled up fast! Practically the whole town's gathered round to see you die a bloody death... I mean, to see you bring Aces to justice!	Goodness, the Saloon sure filled up fast! Practically the whole town's gathered round to see you die a bloody death... I mean, to see you bring Aces to justice!
Don't ask the townies for help, Freddy. The ball's in your court.	Don't ask the townies for help, Freddy. The ball's in your court.
There's nothing you can reach from your strategically rotten position behind the overturned table.	There's nothing you can reach from your strategically rotten position behind the overturned table.
Wheaton "Aces" Hall, the infamous riverboat gambler, seems to have you under a barrel!	Wheaton "Aces" Hall, the infamous riverboat gambler, seems to have you under a barrel!
Give yourself up, Aces! I caught you red-handed!	Give yourself up, Aces! I caught you red-handed!
(GEORGE BUSH) Never! Not gonna do it. Nope. Wouldn't be prudent at this juncture.	(GEORGE BUSH) Never! Not gonna do it. Nope. Wouldn't be prudent at this juncture.
But I caught you!	But I caught you!
Yes, but I ain't goin' nowhere if I can help it! And I warn you, if you shoot me in cold blood, you'll HANG!	Yes, but I ain't goin' nowhere if I can help it! And I warn you, if you shoot me in cold blood, you'll HANG!
Drop your gun and give up! You can't win!	Drop your gun and give up! You can't win!
Considering you're the one cowering behind a table, don't you think YOU should be the one giving up?	Considering you're the one cowering behind a table, don't you think YOU should be the one giving up?
I'm not cowering!	I'm not cowering!
Could've fooled me.	Could've fooled me.
I'm going to count to three, and when I reach three, you'd better have your hands in the air!	I'm going to count to three, and when I reach three, you'd better have your hands in the air!
Oh, my, I'm a-scared.	Oh, my, I'm a-scared.
ONE!	ONE!
You realize, I hope, that the moment you show your head or any part of your body around that table, I'll shoot you dead. You DO know that, don't you?	You realize, I hope, that the moment you show your head or any part of your body around that table, I'll shoot you dead. You DO know that, don't you?
TWO!	TWO!
It's no shirt off MY back, of course. The Sheriff'll never arrest ME for murder. We're both on the same team, ya know.	It's no shirt off MY back, of course. The Sheriff'll never arrest ME for murder. We're both on the same team, ya know.
TWO-AND-A-HALF!	TWO-AND-A-HALF!
Just let me shoot you now. This is embarassing.	Just let me shoot you now. This is embarassing.
TWO-AND-SEVEN- EIGHTHS!	TWO-AND-SEVEN- EIGHTHS!
Not to mention tedious.	Not to mention tedious.
Okay, apparently you didn't understand me. I'll start over.	Okay, apparently you didn't understand me. I'll start over.
Touch me and you'll get a bullet in the heart before you know it.	Touch me and you'll get a bullet in the heart before you know it.
Geez! Talk about homophobia!	Geez! Talk about homophobia!
Ah'm gonna have to arrest yew for attempted murder, stranger. You shouldna' oughtta shot at him in cold blood like that. Gamblin', I kin overlook; really suspicious accidents, I kin overlook; unfortunate co-inky-dinces, I kin overlook. But you shot this boy straight out, son. Hate to hear whut th' Judge is gonna have to say about this! Why, yer gonna HANG, boy!	Ah'm gonna have to arrest yew for attempted murder, stranger. You shouldna' oughtta shot at him in cold blood like that. Gamblin', I kin overlook; really suspicious accidents, I kin overlook; unfortunate co-inky-dinces, I kin overlook. But you shot this boy straight out, son. Hate to hear whut th' Judge is gonna have to say about this! Why, yer gonna HANG, boy!
He did it! What a MANLY man! Riverboat gambler in the corner pocket!	He did it! What a MANLY man! Riverboat gambler in the corner pocket!
Yee-hawwww!	Yee-hawwww!
I could have done that if I'd wanted to. I just didn't feel like it, that's all.	I could have done that if I'd wanted to. I just didn't feel like it, that's all.
Now, when the townsfolk caught wind o' how Aces'd been cheatin', the Sheriff had no choice but to arrest him and return all the deeds. But wouldn' ya know, no sooner had one brouhaha died down than anuther flared up...	Now, when the townsfolk caught wind o' how Aces'd been cheatin', the Sheriff had no choice but to arrest him and return all the deeds. But wouldn' ya know, no sooner had one brouhaha died down than anuther flared up...
A brass rail runs along the length of the bar. This is a decorative, if uncomfortable, place for the drunks to rest their heads. It must be made of very hard metal as it has withstood the test of heels for many years.	A brass rail runs along the length of the bar. This is a decorative, if uncomfortable, place for the drunks to rest their heads. It must be made of very hard metal as it has withstood the test of heels for many years.
Aces' is holding his cards tightly. One of his hands appears unusually stiff. Maybe he's nervous?	Aces' is holding his cards tightly. One of his hands appears unusually stiff. Maybe he's nervous?
Don't touch my cards, Silver Boy. You wouldn't want to be accused of CHEATING, would you?	Don't touch my cards, Silver Boy. You wouldn't want to be accused of CHEATING, would you?
Despite his slimy demeanor and underhanded undertaking, you can't bring yourself to shoot him point-blank. You'll have to find a better way.	Despite his slimy demeanor and underhanded undertaking, you can't bring yourself to shoot him point-blank. You'll have to find a better way.
It appears to be a third hand! So THAT'S how Aces is cheating!	It appears to be a third hand! So THAT'S how Aces is cheating!
Wheaton "Aces" Hall, slick big-time, back-East, riverboat gambler, has turned the saloon's friendly poker game into vicious high-stakes gambling, winning money, land, buildings, and businesses from the local bumpkins.	Wheaton "Aces" Hall, slick big-time, back-East, riverboat gambler, has turned the saloon's friendly poker game into vicious high-stakes gambling, winning money, land, buildings, and businesses from the local bumpkins.
Scoot along, Silver Boy, before I deal you the Dead Man's Hand.	Scoot along, Silver Boy, before I deal you the Dead Man's Hand.
Quit prodding me, stranger. I'll finish with you later.	Quit prodding me, stranger. I'll finish with you later.
Take it away. Can't you see I'm busy?	Take it away. Can't you see I'm busy?
I can see you're up to no good! And I can see you're holding three of a kind, Kings, and the rest of your hand is garbage.	I can see you're up to no good! And I can see you're holding three of a kind, Kings, and the rest of your hand is garbage.
Shut up! Don't listen to him, boys, he's just trying to rattle ya.	Shut up! Don't listen to him, boys, he's just trying to rattle ya.
Aces is clearly winning by a mile. He's piled up a lot of chips, in addition to a pocketful of property deeds!	Aces is clearly winning by a mile. He's piled up a lot of chips, in addition to a pocketful of property deeds!
Hands off that! It's mine, I won it, fair and square!	Hands off that! It's mine, I won it, fair and square!
Are you sure about that?	Are you sure about that?
Am I sure? Am I SURE? I'm the most honest gambler in this town!	Am I sure? Am I SURE? I'm the most honest gambler in this town!
(SARCASTICALLY) Oh, like THAT'S saying much!	(SARCASTICALLY) Oh, like THAT'S saying much!
Ollie's money is dwindling rapidly.	Ollie's money is dwindling rapidly.
Don't take Ollie's money, he needs all he can get right now.	Don't take Ollie's money, he needs all he can get right now.
Coarsegold has really gone to pot now!	Coarsegold has really gone to pot now!
Hey, hey, hey. Nobody at this table's gonna take kindly to you walking off with the chips.	Hey, hey, hey. Nobody at this table's gonna take kindly to you walking off with the chips.
That's old Ollie Oxenfree, up close and personal! He's the guy who owns the fig farms on the northern side of Collier Bluff. He's the worst gambler in town! He'll lose the entire North 40 in no time!	That's old Ollie Oxenfree, up close and personal! He's the guy who owns the fig farms on the northern side of Collier Bluff. He's the worst gambler in town! He'll lose the entire North 40 in no time!
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.	Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.
Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper too?)	Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper too?)
Cooper, please! You can't lose everything, you just can't!	Cooper, please! You can't lose everything, you just can't!
He doesn't speak, but his attitude is clearly, "Oh, yeah? Just watch me!"	He doesn't speak, but his attitude is clearly, "Oh, yeah? Just watch me!"
Don't bother him now; he's trying to recoop!	Don't bother him now; he's trying to recoop!
That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started playing -- a huge tract of land along the south side of town, where Chinatown used to be.	That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started playing -- a huge tract of land along the south side of town, where Chinatown used to be.
Muff nods his head in agreement, and keeps playing. Muff's never been too bright.	Muff nods his head in agreement, and keeps playing. Muff's never been too bright.
Don't poke him right now, he's concentrating on losing everything. And doing a damn good job of it, too!	Don't poke him right now, he's concentrating on losing everything. And doing a damn good job of it, too!
That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap that really is a "trap." He trapped a couple of punks in there a few years back, Tom and Becky somebody or other. They almost didn't get out. Somebody ought to write a book about it!	That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap that really is a "trap." He trapped a couple of punks in there a few years back, Tom and Becky somebody or other. They almost didn't get out. Somebody ought to write a book about it!
Joe grunts. And that's the most you've ever heard him say!	Joe grunts. And that's the most you've ever heard him say!
You've got to think of a way to frame Aces!	You've got to think of a way to frame Aces!
Leave the frame right where it is. It's doing such a good job of adding to the composition of the image.	Leave the frame right where it is. It's doing such a good job of adding to the composition of the image.
Aces is even uglier close-up than he is from afar! Maybe it would help if you squinted.	Aces is even uglier close-up than he is from afar! Maybe it would help if you squinted.
Shhhh, it's rude to talk to that while the game's in progress.	Shhhh, it's rude to talk to that while the game's in progress.
Get that finger away from me. You're making me nervous. And I don't LIKE people that make me nervous.	Get that finger away from me. You're making me nervous. And I don't LIKE people that make me nervous.
This is the poker table. Most of the value of Coarsegold seems to be going from this side to Aces' side.	This is the poker table. Most of the value of Coarsegold seems to be going from this side to Aces' side.
Hey, keep your hands off the table. And don't make me tell you again.	Hey, keep your hands off the table. And don't make me tell you again.
You're cheating! That's a fake left hand! Your real hand is hidden under the table! You've been feeding good cards into your hand and taking away the bad ones!	You're cheating! That's a fake left hand! Your real hand is hidden under the table! You've been feeding good cards into your hand and taking away the bad ones!
Why, yes, silver-eared stranger! You're correct... almost! As you see, I have no cards under the table. I only have this...	Why, yes, silver-eared stranger! You're correct... almost! As you see, I have no cards under the table. I only have this...
Now turn around, silver-ear! I think I'd rather shoot you in the back, so I don't have see that ugly face of yours!	Now turn around, silver-ear! I think I'd rather shoot you in the back, so I don't have see that ugly face of yours!
Sitting behind the counter is P.H. Balance, current owner and operator of The Bank of Bob.	Sitting behind the counter is P.H. Balance, current owner and operator of The Bank of Bob.
(UNDER BREATH) He's a bore and a lice-infested jerk.	(UNDER BREATH) He's a bore and a lice-infested jerk.
Come again? Did you say something, Pharkas?	Come again? Did you say something, Pharkas?
I said you were more than just a nice, respected clerk!	I said you were more than just a nice, respected clerk!
Oh. That's very different.	Oh. That's very different.
Have I told you about our new Columbus Day account? It's a full benefit, non-interest -bearing account.	Have I told you about our new Columbus Day account? It's a full benefit, non-interest -bearing account.
Did you hear about our Easter Club account? We may even make it an interest-bearing account if we can bear to part with the interest!	Did you hear about our Easter Club account? We may even make it an interest-bearing account if we can bear to part with the interest!
Yessir, our latest Halloween passbook account is very innovative! We give you zero percent interest and only charge you a nominal fee.	Yessir, our latest Halloween passbook account is very innovative! We give you zero percent interest and only charge you a nominal fee.
We have a new Yom Kippur savings account. Irving over at the deli in Bass Lake just opened one up. I'm sure he'd recommend it.	We have a new Yom Kippur savings account. Irving over at the deli in Bass Lake just opened one up. I'm sure he'd recommend it.
You know, this is the last day to be eligible for our interest-free Secretary's Day checking account. It's only $27.00 per month and we bill your secretary!	You know, this is the last day to be eligible for our interest-free Secretary's Day checking account. It's only $27.00 per month and we bill your secretary!
Soon it'll be time for the Saint Patrick's Day promotion. We give you the account and you give us the green!	Soon it'll be time for the Saint Patrick's Day promotion. We give you the account and you give us the green!
Tomorrow's my birthday. Leave me a present and I'll open you a P.H. Balance Birthday Club account!	Tomorrow's my birthday. Leave me a present and I'll open you a P.H. Balance Birthday Club account!
For Memorial Day, we're letting you remember us by taking your money and hiding it in our vault.	For Memorial Day, we're letting you remember us by taking your money and hiding it in our vault.
Say, it was too bad about your Pharmacy being shut down. Must be hard to lose a business so sudden like. We here at the Bank of Bob sympathize.	Say, it was too bad about your Pharmacy being shut down. Must be hard to lose a business so sudden like. We here at the Bank of Bob sympathize.
Yeah, I'm sorry about your pharmacy. Maybe you should think about selling up and leaving town.	Yeah, I'm sorry about your pharmacy. Maybe you should think about selling up and leaving town.
Well, I know you can't be coming in to make a deposit here at the Bank of Bob. No business, no money, right? Might as well be selling the old place.	Well, I know you can't be coming in to make a deposit here at the Bank of Bob. No business, no money, right? Might as well be selling the old place.
You know, it would be a shame if the Bank of Bob had to foreclose on your Pharmacy. Maybe you could sell it before things get that bad. I might be able to suggest an investor.	You know, it would be a shame if the Bank of Bob had to foreclose on your Pharmacy. Maybe you could sell it before things get that bad. I might be able to suggest an investor.
How about it, Freddy? Thought any more about selling that run-down store of yours?	How about it, Freddy? Thought any more about selling that run-down store of yours?
You better be selling, Pharkas. Life in the West can get downright dangerous for people who can't pay their way. I could take that place off your hands. Of course, I'd offer a fair market value. Not that that's much with the market the way it is. But the Bank of Bob wants to be fair.	You better be selling, Pharkas. Life in the West can get downright dangerous for people who can't pay their way. I could take that place off your hands. Of course, I'd offer a fair market value. Not that that's much with the market the way it is. But the Bank of Bob wants to be fair.
Come to sell me your store yet?	Come to sell me your store yet?
I don't do business with losers. And you're about to lose, Pharkas. Big time.	I don't do business with losers. And you're about to lose, Pharkas. Big time.
Please keep your grubby hands to yourself.	Please keep your grubby hands to yourself.
(SOTTO VOCE) |c1|Yeah, how would you like me to turn your butt in to the ol' IRS, you goat!|c|	(SOTTO VOCE) |c1|Yeah, how would you like me to turn your butt in to the ol' IRS, you goat!|c|
Did you say something?	Did you say something?
I said, "How I would love a turn at buttoning your Old Squire's blue coat."	I said, "How I would love a turn at buttoning your Old Squire's blue coat."
Oh. Thank you, I'll button it myself.	Oh. Thank you, I'll button it myself.
Don't try to sell me any of that bilge water, Pharkas. It's chicanery, pure and simple.	Don't try to sell me any of that bilge water, Pharkas. It's chicanery, pure and simple.
This is privileged information. I shouldn't even be looking at this. Trust you to fly in the face of propriety, Pharkas.	This is privileged information. I shouldn't even be looking at this. Trust you to fly in the face of propriety, Pharkas.
Take that nasty little glass away from me. It's stinking up my class establishment.	Take that nasty little glass away from me. It's stinking up my class establishment.
Clever, Pharkas, very clever. Hope you got a good many points for this.	Clever, Pharkas, very clever. Hope you got a good many points for this.
My anus sphincter is in perfect health, thank you very much. I move my bowels twice a day, and never strain. What's more, I find your offer most distasteful.	My anus sphincter is in perfect health, thank you very much. I move my bowels twice a day, and never strain. What's more, I find your offer most distasteful.
You are a desperate individual, Pharkas. I do not give handouts.	You are a desperate individual, Pharkas. I do not give handouts.
(UNDER BREATH) |c1|You are a swine, a cad, and a rank bounder!|c|	(UNDER BREATH) |c1|You are a swine, a cad, and a rank bounder!|c|
What say?	What say?
I said, "Your fine Dad was the bank founder."	I said, "Your fine Dad was the bank founder."
Oh! Yes, indeed!	Oh! Yes, indeed!
Do not attempt to threaten me with your puny ice pick, Pharkas. I have the protection of the local constabulary.	Do not attempt to threaten me with your puny ice pick, Pharkas. I have the protection of the local constabulary.
This is trash. Away with it!	This is trash. Away with it!
(UNDER BREATH) |c1|It's not the ONLY trash in here.|c|	(UNDER BREATH) |c1|It's not the ONLY trash in here.|c|
I can't hear you. What was that?	I can't hear you. What was that?
I said, "There's lots of lonely cash in here."	I said, "There's lots of lonely cash in here."
Oh. Whatever you say.	Oh. Whatever you say.
You always were a strapping lad. Heh. heh.	You always were a strapping lad. Heh. heh.
Your concern is misplaced, Pharkas. I'm perfectly safe in here. You may go. And don't permit the door to strike your posterior as you depart!	Your concern is misplaced, Pharkas. I'm perfectly safe in here. You may go. And don't permit the door to strike your posterior as you depart!
Are you suggesting that I need something like this? I'll have you know I never expel gas!	Are you suggesting that I need something like this? I'll have you know I never expel gas!
(SOTTO VOCE) |c1|Maybe you SHOULD, then, before you EXPLODE.|c|	(SOTTO VOCE) |c1|Maybe you SHOULD, then, before you EXPLODE.|c|
I'm sorry, I didn't quite catch that.	I'm sorry, I didn't quite catch that.
I'm sorry, I said, "Maybe I should spend more time in the commode."	I'm sorry, I said, "Maybe I should spend more time in the commode."
Oh! Well, I don't want to hear about your personal problems.	Oh! Well, I don't want to hear about your personal problems.
Snails? What am I supposed to do with these, deposit them? You're even more demented than I gave you credit for, Pharkas.	Snails? What am I supposed to do with these, deposit them? You're even more demented than I gave you credit for, Pharkas.
I'd be happy to keep it safe in your Christmas Club account here at the Bank of Bob. If you'd open one, that is.	I'd be happy to keep it safe in your Christmas Club account here at the Bank of Bob. If you'd open one, that is.
Beer is the beverage of morons. Take it elsewhere forthwith.	Beer is the beverage of morons. Take it elsewhere forthwith.
(SOTTO VOCE) |c1|You worthless waste of space.|c|	(SOTTO VOCE) |c1|You worthless waste of space.|c|
Did you just say something?	Did you just say something?
I said, "Your worth is based on taste."	I said, "Your worth is based on taste."
Oh. Yes, I've invested a fortune in these beautiful paintings!	Oh. Yes, I've invested a fortune in these beautiful paintings!
I don't need any of your castoffs, Pharkas. Throw them out yourself.	I don't need any of your castoffs, Pharkas. Throw them out yourself.
I don't recognize that key. It certainly opens nothing around here!	I don't recognize that key. It certainly opens nothing around here!
(SOTTO VOCE) |c1|Like the key to your generosity.|c|	(SOTTO VOCE) |c1|Like the key to your generosity.|c|
Say again, please.	Say again, please.
I said, "Look at me, I'm a sight to see!"	I said, "Look at me, I'm a sight to see!"
Oh. You look pretty scrawny to me.	Oh. You look pretty scrawny to me.
Still trying to get to the top of the ladder, eh, Pharkas? I suppose this is the only way you're going to do it.	Still trying to get to the top of the ladder, eh, Pharkas? I suppose this is the only way you're going to do it.
You don't have the gumption to tie me up, Pharkas.	You don't have the gumption to tie me up, Pharkas.
(UNDER BREATH) |c1|And I don't have enough rope, either!|c|	(UNDER BREATH) |c1|And I don't have enough rope, either!|c|
What was that? What did you say?	What was that? What did you say?
I said, "You don't happen to be a dope, either."	I said, "You don't happen to be a dope, either."
Oh. Too true, too true! Heh, heh.	Oh. Too true, too true! Heh, heh.
Cease your ridiculous antics, Pharkas. Do I look like a cow to you?	Cease your ridiculous antics, Pharkas. Do I look like a cow to you?
I'm not experiencing any of the lower G.I. problems that so many of the rabble seem to be afflicted with. Therefore, feel free to take that solution elsewhere.	I'm not experiencing any of the lower G.I. problems that so many of the rabble seem to be afflicted with. Therefore, feel free to take that solution elsewhere.
That canister has no redemption value at all. But thank you so much for thinking of us here at the Bank of Bob.	That canister has no redemption value at all. But thank you so much for thinking of us here at the Bank of Bob.
I'm sorry, you backwoods pharmacist. We do not accept large deposits of baking soda!	I'm sorry, you backwoods pharmacist. We do not accept large deposits of baking soda!
(UNDER BREATH) |c1|You're full of hot air.|c|	(UNDER BREATH) |c1|You're full of hot air.|c|
Excuse me? What did you say?	Excuse me? What did you say?
I simply said, "You've got a full head of hair."	I simply said, "You've got a full head of hair."
