That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
This is a chandelier. Most nights you can find at least one or two drunk 'n' rowdy cowhands swinging from this thing. Business must be a mite slow today.	這是一盞吊燈。大多數夜晚都能看到一兩個醉醺醺的牛仔在上面盪來盪去。今天生意大概有點冷清。
It's way over your head. Like most of these jokes!	那太高了，你搆不到，就跟這裡大多數的笑話一樣──你也「聽」不懂！
It's Baa-Bara Mandrill and the Baa-bettes, stars of stage, screen and barnyard!	這是「咩芭拉·曼德瑞爾」與「咩咩女郎」，舞台、螢幕與牧場三棲巨星！
Shear it off! Shear it |c2|ALL|c| off!	剪光牠！把牠剪個|c2|精光|c|！
Don't touch 'em, you'll throw off their timing. Besides, the lanolin will make your hands soft and squishy like a girl's.	別碰牠們，你會打亂牠們的節奏。而且，羊毛脂會讓你的手變得像女生一樣軟綿綿的。
It's Neville Shute, The Piano Player. He's Doing the Best He Can!	這是內維爾·舒特，鋼琴師。他已經盡力而為了！
Play it, Neville.	彈吧，內維爾。
Neville, in order not to lose track of the piece he's playing, says nothing. However, he raises his eyebrows as if to say, "Certainly, sir, I'll be happy to play whatever selection you'd care to hear, and what's more, I'll make this old piano sound like a whole orchestra!"	內維爾為了不彈亂手上這首曲子，什麼也沒說。不過他挑了挑眉毛，彷彿在說：「當然了，先生，您想聽什麼我都樂意彈，而且我還能讓這台老鋼琴聽起來像一整支管弦樂團呢！」
Don't throttle him, he's doing the best he can.	別掐他脖子，他已經盡力而為了。
Neville Shute earns a good salary, plus tips. He doesn't need your contributions.	內維爾·舒特薪水不差，還有小費，他不需要你的「贊助」。
Hey! You're not supposed to shoot him! If you don't like his music, turn down your volume!	嘿！你不該開槍打他的！要是不喜歡他的音樂，把你的音量調小一點就是了！
It's Ollie Oxenfree, the guy who owns the fig farms on the northern side of Collier Bluff! He's the worst gambler in town! He'll lose the entire North 40 in no time!	這是奧利·奧克斯弗里，柯利爾崖北邊那片無花果農場的主人！他是全鎮最爛的賭徒！他很快就會把整片北方四十畝地都輸光！
Ollie, listen to me! Don't do it! It's not worth it!	奧利，聽我說！別這樣做！這不值得！
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes longer.	別白費脣舌了。奧利那點僅剩的專注力，全用來讓他的農場多撐個幾分鐘。
Ollie ignores you. Apparently he's a little preoccupied with this "losing your home and livelihood" business.	奧利不理你。看來他正忙著處理「賠上家園跟生計」這檔事，有點分身乏術。
Don't bother trying to distract Ollie with doodads and knicknacks. His attention is firmly established elsewise.	別費心用些小玩意兒去分散奧利的注意力了，他的心思早就穩穩地放在別處了。
Ollie's not worth shooting. However, he IS worth hanging. Maybe in the sequel?	奧利不值得你開槍打他。不過他倒是很值得被吊死。也許留到續集再說吧？
Hey, these chairs don't have any chewing gum stuck to the undersides! But look out for wads of chewing tobacco.	嘿，這些椅子底下倒是沒黏口香糖！不過要小心嚼菸草的殘渣。
Those chairs are for drinking customers only, and if I'm not mistaken, you're the Designated Hero this week.	那些椅子只留給喝酒的客人坐，而如果我沒記錯，你這禮拜可是「指定英雄」。
Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children, and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper, too?)	正在把自己「木桶行」輸光的是庫珀「庫普」庫珀。他、他老婆、他的孩子還有他爸媽，全都在他的木桶行裡幫忙。他是箍桶匠，她也是箍桶匠，一家子全是箍桶匠。（你難道不想也當個箍桶匠嗎？）
Hey, Cooper! Don't do it! You'll lose everything!	嘿，庫珀！別這樣！你會輸光一切的！
He ignores you. You're spoiling his lack of concentration!	他不理你。你正在破壞他那「毫無專注力」的專注力！
Don't bother him now, he's trying to recoop his losses!	現在別煩他，他正想辦法「箍」回他的損失呢！
Cooper apparently isn't interested in "Show 'n Tell."	庫珀顯然對這種「拿出來獻寶」的把戲沒興趣。
But... but Cooper's got a wife and kids! Maybe that's why he's in the Saloon?	可是……可是庫珀有老婆孩子啊！也許這就是他跑來酒館的原因？
That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started gambling today -- a huge tract of land along the south side of town, where Chinatown used to be.	那是莫夫·波特。真高興看到他跟喬又和好了！他擁有──或者說，在他今天開始賭博之前「曾經」擁有──鎮上南邊一大片土地，就是以前的中國城那一帶。
Hey, Muff! Don't play with this guy, he cheats!	嘿，莫夫！別跟這傢伙玩，他會出老千！
Muff nods his head in agreement, then returns to playing. Muff's never been too bright.	莫夫點頭表示同意，然後又繼續賭了下去。莫夫向來不太聰明。
Don't poke him right now, he's concentrating on losing everything. And he's doing very well!	現在別戳他，他正專心致志地在輸光一切，而且輸得相當出色！
Don't bother giving that to Muff. He'll just gamble it away.	別費事把那個給莫夫了，他只會拿去賭光。
You'd shoot poor ol' Muff? Shame, shame!	你要對可憐的老馬夫開槍？羞羞臉，羞羞臉！
That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap. And "trap" it is! He trapped a couple of punks in there a few years back, Tom and Becky something or other. They almost didn't get out. Somebody oughtta write a book about it!	那是喬，幾年前跟老莫夫·波特結過梁子的傢伙。他經營一個本地的觀光「陷阱」，而且還真是名副其實的陷阱！幾年前他把兩個小屁孩──湯姆跟貝琪什麼的──困在裡頭，他們差點就出不來了。真該有人把這事寫成一本書！
You're gambling the Tourist Center away? Say it ain't so, Joe!	你要把觀光中心也賭掉？別跟我說是真的，喬！
Joe grunts. That's the most you've ever heard him say!	喬哼了一聲。這是你聽過他說過最長的話了！
Don't poke this guy. He's mean.	別戳這傢伙，他很兇。
Joe is far too proud and noble to take what you have to give him. He'd rather steal it!	喬太驕傲、太高尚了，不屑接受你給的東西，他寧可自己偷！
You can't shoot a man for gambling! Well, maybe in SOME states.	你不能因為人家賭博就開槍打他！嗯，某些州或許可以吧。
Three mean-looking hombres sit up close to the stage. Upon closer examination, you see that they're drinking wine spritzers. Maybe they're not so mean after all.	三個長相兇惡的漢子坐在靠近舞台的地方。仔細一看，你發現他們喝的是氣泡調酒。看來他們也許沒那麼兇。
Welcome to Coarsegold, strangers! I haven't seen you around these parts before. You new in town?	歡迎來到粗金鎮，陌生人！我以前沒在這一帶見過你們，是剛搬來的嗎？
You hear the unmistakable sound of grinding and cracking teeth. You hear the splitting, tearing sound of six severely chapped lips curling up in ugly sneers. You hear the pop of knuckles as three trigger fingers flex in readiness. You decide your friendly, offhand comments have been misinterpreted.	你聽見一陣咬牙切齒的聲音，錯不了。你聽見六片乾裂的嘴唇扭曲成醜陋冷笑時撕裂的聲音。你聽見三根扣板機的手指擺出備戰姿勢時關節喀喀作響。你判斷，自己那句隨口的友善話似乎被誤會了。
You don't want to touch these hombres. They don't look like they're into close physical contact.	你可不想去碰這些漢子。他們看起來不太喜歡跟人有親密接觸。
They don't want it.	他們不想要。
As you cock the hammers back on your pistols... you suddenly hear a whole CHORUS of pistols make the same sound. You gently ease the hammer forward, slowly, without making any sudden moves. Smart boy.	就在你扳起手槍擊錘的瞬間……你突然聽見一整片槍械擊錘同時響起的聲音，簡直像大合唱。你慢慢地、輕輕地把擊錘放回去，動作不敢有半點突然。算你聰明。
Without warning, you hear gunshots out in front of the Saloon, plus lots of yelling and shouting. What's going on out there?	毫無預警地，你聽見酒館外傳來槍聲，還有大量的叫喊聲。外頭到底發生了什麼事？
The Ballad of the Frontier Pharmacist	邊疆藥師之歌
Revolucion Numero 9	第九號革命
I've Grown Accustomed to Your Ace	我已經習慣了你的王牌
Hot Lead in the Old Town Tonight	今夜古鎮熱鉛橫飛
The Varmint of Baghdad	巴格達的害獸
Gunrise, Gunset	槍起槍落
When You Say Blood	當你說出血
Zircon Jim's Theme	鋯石吉姆主題曲
Singh Sungh Blue	辛桑藍調
My Sweet Cranky Ol' Mom	我那暴躁的老媽甜心
Play it, Neville. Play...	彈吧，內維爾。彈啊……
Rewind	倒帶
Rewind-O-Matic	自動倒帶機
Be Kind! Please Rewind!	做人厚道點！看完請倒帶！
The brass rail runs along the length of the bar.	黃銅扶杆沿著吧檯全長延伸。
But you don't know where that bar rail has been!	但你不知道那根扶杆到底沾過什麼東西！
Hey, you wouldn't want to do me a little favor, would you? Kinda distract Aces so's I can get a shot off?	嘿，你該不會願意幫我個小忙吧？稍微引開王牌的注意，好讓我開一槍？
What's in it for me?	那我能得到什麼好處？
Nice 'tude.	態度真好啊。
You can't reach him now. Throttle him later, once you've settled with Aces.	你現在搆不到他。等你跟王牌了結之後，再回來掐他吧。
Goodness, the Saloon sure filled up fast! Practically the whole town's gathered round to see you die a bloody death... I mean, to see you bring Aces to justice!	天哪，這酒館一下子擠滿人了！幾乎全鎮的人都聚過來看你血淋淋地死……我是說，看你把王牌繩之以法！
Don't ask the townies for help, Freddy. The ball's in your court.	別指望鎮民幫忙了，佛萊迪。球在你手上。
There's nothing you can reach from your strategically rotten position behind the overturned table.	躲在這張翻倒的桌子後面，這個「絕佳」的爛位置，你什麼也搆不到。
Wheaton "Aces" Hall, the infamous riverboat gambler, seems to have you under a barrel!	看來把你困在木桶陰影下，任他擺佈了！
Give yourself up, Aces! I caught you red-handed!	束手就擒吧，王牌！我當場抓到你了！
(GEORGE BUSH) Never! Not gonna do it. Nope. Wouldn't be prudent at this juncture.	（喬治布希腔）不！休想。不可能。這個節骨眼上這麼做並不明智。
But I caught you!	可是我抓到你了！
Yes, but I ain't goin' nowhere if I can help it! And I warn you, if you shoot me in cold blood, you'll HANG!	沒錯，但只要我還能反抗，我哪兒也不會去！我警告你，你要是冷血地開槍打我，你會被吊死的！
Drop your gun and give up! You can't win!	放下槍投降吧！你贏不了的！
Considering you're the one cowering behind a table, don't you think YOU should be the one giving up?	想想看，躲在桌子後面發抖的人是你，你不覺得該投降的人是「你」嗎？
I'm not cowering!	我才沒有發抖！
Could've fooled me.	你可騙不了我。
I'm going to count to three, and when I reach three, you'd better have your hands in the air!	我要數到三，數到三的時候，你最好把雙手舉起來！
Oh, my, I'm a-scared.	唉呀，我好怕怕喔。
ONE!	一！
You realize, I hope, that the moment you show your head or any part of your body around that table, I'll shoot you dead. You DO know that, don't you?	我希望你明白，只要你把頭或身體任何一部分露出桌子外面，我就會一槍斃了你。你懂這一點，對吧？
TWO!	二！
It's no shirt off MY back, of course. The Sheriff'll never arrest ME for murder. We're both on the same team, ya know.	反正這對我一點損失也沒有。警長絕不會以謀殺罪逮捕我，畢竟我們是同一國的，你懂的。
TWO-AND-A-HALF!	二點五！
Just let me shoot you now. This is embarassing.	讓我現在就開槍打死你吧，這樣拖下去太丟臉了。
TWO-AND-SEVEN- EIGHTHS!	二又八分之七！
Not to mention tedious.	更別提有多無聊了。
Okay, apparently you didn't understand me. I'll start over.	好吧，看來你沒聽懂，我重新來一次。
Touch me and you'll get a bullet in the heart before you know it.	敢碰我，你連反應都來不及就會中彈穿心。
Geez! Talk about homophobia!	天啊！這也太恐同了吧！
Ah'm gonna have to arrest yew for attempted murder, stranger. You shouldna' oughtta shot at him in cold blood like that. Gamblin', I kin overlook; really suspicious accidents, I kin overlook; unfortunate co-inky-dinces, I kin overlook. But you shot this boy straight out, son. Hate to hear whut th' Judge is gonna have to say about this! Why, yer gonna HANG, boy!	俺得以殺人未遂的罪名逮捕你了，陌生人。你不該那樣冷血地朝他開槍。賭博嘛，俺可以睜隻眼閉隻眼；真的很可疑的意外，俺也能睜隻眼閉隻眼；倒楣的巧合，俺照樣睜隻眼閉隻眼。但你這回是明目張膽開槍打這小子，孩子。真不想聽法官會怎麼說這事！哎呀，你這下要「上吊」啦，孩子！
He did it! What a MANLY man! Riverboat gambler in the corner pocket!	他還真做到了！好一個有男子氣概的男人！賭船老千，一桿進袋！
Yee-hawwww!	呀呼∼！
I could have done that if I'd wanted to. I just didn't feel like it, that's all.	我要做的話早就做了，只是懶得做而已，就這樣。
Now, when the townsfolk caught wind o' how Aces'd been cheatin', the Sheriff had no choice but to arrest him and return all the deeds. But wouldn' ya know, no sooner had one brouhaha died down than anuther flared up...	話說鎮民風聞王牌耍老千的消息，警長不得不將他逮捕，把所有地契都物歸原主。誰曉得，一場風波才剛平息，另一場又起了頭…
A brass rail runs along the length of the bar. This is a decorative, if uncomfortable, place for the drunks to rest their heads. It must be made of very hard metal as it has withstood the test of heels for many years.	一根黃銅欄杆沿著吧台延伸。這是個裝飾用、卻不怎麼舒服的地方，供醉漢趴著休息。它一定是用很硬的金屬打造的，畢竟多年來禁得起鞋跟的摧殘。
Aces' is holding his cards tightly. One of his hands appears unusually stiff. Maybe he's nervous?	王牌把牌握得死緊。他有隻手看起來異常僵硬，難道是緊張了？
Don't touch my cards, Silver Boy. You wouldn't want to be accused of CHEATING, would you?	別碰我的牌，銀耳小子。你該不會想被人說是在作弊吧？
Despite his slimy demeanor and underhanded undertaking, you can't bring yourself to shoot him point-blank. You'll have to find a better way.	儘管他油腔滑調、行事卑鄙，你還是下不了手當場斃了他。你得想個更好的辦法。
It appears to be a third hand! So THAT'S how Aces is cheating!	這看起來是第三隻手！原來王牌就是這樣作弊的！
Wheaton "Aces" Hall, slick big-time, back-East, riverboat gambler, has turned the saloon's friendly poker game into vicious high-stakes gambling, winning money, land, buildings, and businesses from the local bumpkins.	惠頓「王牌」霍爾，一個從東岸來的油滑大牌賭船老千，把酒館裡友善的撲克局變成了兇狠的高額賭局，從當地土包子手裡贏走了錢財、土地、房產與生意。
Scoot along, Silver Boy, before I deal you the Dead Man's Hand.	快滾吧，銀耳小子，免得我發給你一手死人牌。
Quit prodding me, stranger. I'll finish with you later.	別再戳我了，陌生人。等會兒再跟你算帳。
Take it away. Can't you see I'm busy?	拿走拿走。你沒看到我正忙著嗎？
I can see you're up to no good! And I can see you're holding three of a kind, Kings, and the rest of your hand is garbage.	我看得出你不懷好意！我還看得出你手裡有三條老K，剩下的牌全是垃圾。
Shut up! Don't listen to him, boys, he's just trying to rattle ya.	閉嘴！別聽他的，各位，他只是想擾亂你們的心。
Aces is clearly winning by a mile. He's piled up a lot of chips, in addition to a pocketful of property deeds!	王牌顯然贏得遙遙領先。他堆了一大疊籌碼，口袋裡還塞滿了地契！
Hands off that! It's mine, I won it, fair and square!	手拿開！那是我的，我光明正大贏來的！
Are you sure about that?	你確定嗎？
Am I sure? Am I SURE? I'm the most honest gambler in this town!	我確定？我確定？我可是這鎮上最誠實的賭徒！
(SARCASTICALLY) Oh, like THAT'S saying much!	（諷刺地）喔，那還真是了不起呢！
Ollie's money is dwindling rapidly.	奧利的錢正快速縮水。
Don't take Ollie's money, he needs all he can get right now.	別拿走奧利的錢，他現在能省一分是一分。
Coarsegold has really gone to pot now!	粗金鎮這下真是徹底完了！
Hey, hey, hey. Nobody at this table's gonna take kindly to you walking off with the chips.	嘿，嘿，嘿。這桌上沒人會樂見你捧著籌碼走人。
That's old Ollie Oxenfree, up close and personal! He's the guy who owns the fig farms on the northern side of Collier Bluff. He's the worst gambler in town! He'll lose the entire North 40 in no time!	那是老奧利·奧克斯弗里，近距離讓你瞧個仔細！他就是柯里爾崖北邊那片無花果農場的主人。他是全鎮最爛的賭徒！用不了多久他就會把北邊那四十畝地全輸光！
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.	省點力氣吧。歐利那點僅存的專注力，全用來多守住他的農場幾分鐘了。
Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper too?)	正在把「木桶酒窖」店輸光的是庫柏「箍桶匠」庫柏。他、他老婆、他的孩子、還有他爸媽，全都在他的木桶店裡幹活。他是箍桶匠，她也是箍桶匠，全家都是箍桶匠。（你是不是也想當個箍桶匠呢？）
Cooper, please! You can't lose everything, you just can't!	庫柏，拜託！你不能輸光一切，真的不能！
He doesn't speak, but his attitude is clearly, "Oh, yeah? Just watch me!"	他一句話也沒說，但態度分明是：「是嗎？你就瞧好了！」
Don't bother him now; he's trying to recoop!	現在別煩他；他正想把老本「箍」回來呢！
That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started playing -- a huge tract of land along the south side of town, where Chinatown used to be.	那是馬夫·波特。真高興看到他跟喬又和好了！他名下有——至少在他開始賭之前是有——鎮南一大片地，那裡以前是唐人街。
Muff nods his head in agreement, and keeps playing. Muff's never been too bright.	馬夫點頭表示同意，繼續賭他的牌。馬夫向來不太聰明。
Don't poke him right now, he's concentrating on losing everything. And doing a damn good job of it, too!	現在別戳他，他正專心致志地輸光一切。而且輸得相當漂亮！
That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap that really is a "trap." He trapped a couple of punks in there a few years back, Tom and Becky somebody or other. They almost didn't get out. Somebody ought to write a book about it!	那是喬，幾年前跟老馬夫·波特結過樑子的傢伙。他擁有本地一個名副其實的「陷阱」觀光景點。幾年前他把兩個小鬼——好像叫湯姆跟貝琪什麼的——困在裡頭。他們差點沒能出來。真該有人把這事寫成書才對！
Joe grunts. And that's the most you've ever heard him say!	喬哼了一聲。這已經是你聽過他講最多話的一次了！
You've got to think of a way to frame Aces!	你得想個辦法把王牌給栽贓下獄！
Leave the frame right where it is. It's doing such a good job of adding to the composition of the image.	畫框就留在原地吧。它可為這幅畫的構圖加分不少呢。
Aces is even uglier close-up than he is from afar! Maybe it would help if you squinted.	王牌近看比遠看還醜！也許瞇著眼看會好一點。
Shhhh, it's rude to talk to that while the game's in progress.	噓，牌局進行中跟那個講話很沒禮貌。
Get that finger away from me. You're making me nervous. And I don't LIKE people that make me nervous.	把你的手指從我身上拿開。你讓我很緊張。我可不喜歡讓我緊張的人。
This is the poker table. Most of the value of Coarsegold seems to be going from this side to Aces' side.	這是撲克牌桌。粗金鎮大部分的財富，似乎都從這一邊流向了王牌那一邊。
Hey, keep your hands off the table. And don't make me tell you again.	嘿，手離桌子遠一點。別讓我再說第二次。
You're cheating! That's a fake left hand! Your real hand is hidden under the table! You've been feeding good cards into your hand and taking away the bad ones!	你在作弊！那是隻假的左手！你的真手藏在桌子底下！你一直把好牌塞進手裡，再把爛牌抽掉！
Why, yes, silver-eared stranger! You're correct... almost! As you see, I have no cards under the table. I only have this...	哎呀，沒錯，銀耳陌生人！你說對了…差不多啦！你看，我桌底下沒有牌。我只有這個…
Now turn around, silver-ear! I think I'd rather shoot you in the back, so I don't have see that ugly face of yours!	現在轉過身去，銀耳仔！我想我寧可從背後斃了你，這樣就不必看你那張醜臉了！
Sitting behind the counter is P.H. Balance, current owner and operator of The Bank of Bob.	坐在櫃台後面的是P·H·貝倫斯，鮑伯銀行現任的老闆兼經營者。
(UNDER BREATH) He's a bore and a lice-infested jerk.	（低聲嘀咕）他是個無聊透頂、渾身長蝨子的混蛋。
Come again? Did you say something, Pharkas?	你說什麼？你剛剛說了什麼嗎，法卡斯？
I said you were more than just a nice, respected clerk!	我是說你不只是位親切受人尊敬的行員！
Oh. That's very different.	喔，那可差多了。
Have I told you about our new Columbus Day account? It's a full benefit, non-interest -bearing account.	我跟你提過我們新推出的哥倫布日帳戶了嗎？這是個福利全開、但完全不計利息的帳戶。
Did you hear about our Easter Club account? We may even make it an interest-bearing account if we can bear to part with the interest!	你聽說我們的復活節俱樂部帳戶了嗎？要是我們捨得把利息分出去，說不定還會讓它變成計息帳戶呢！
Yessir, our latest Halloween passbook account is very innovative! We give you zero percent interest and only charge you a nominal fee.	是的，我們最新的萬聖節存摺帳戶非常創新！我們給你零利率，只酌收一點點名義上的手續費。
We have a new Yom Kippur savings account. Irving over at the deli in Bass Lake just opened one up. I'm sure he'd recommend it.	我們有個新的贖罪日儲蓄帳戶。貝斯湖那家熟食店的爾文才剛開了一個，我相信他會推薦的。
You know, this is the last day to be eligible for our interest-free Secretary's Day checking account. It's only $27.00 per month and we bill your secretary!	跟你說，今天是申請我們無息秘書節支票帳戶的最後一天。每個月只要27美元，我們會把帳單寄給你的秘書！
Soon it'll be time for the Saint Patrick's Day promotion. We give you the account and you give us the green!	聖派翠克節的促銷活動就快到了。我們給你帳戶，你給我們綠鈔票！
Tomorrow's my birthday. Leave me a present and I'll open you a P.H. Balance Birthday Club account!	明天是我生日。留份禮物給我，我就幫你開一個P·H·貝倫斯生日俱樂部帳戶！
For Memorial Day, we're letting you remember us by taking your money and hiding it in our vault.	陣亡將士紀念日，我們讓你永誌不忘的方式，就是把你的錢拿走藏進我們的金庫。
Say, it was too bad about your Pharmacy being shut down. Must be hard to lose a business so sudden like. We here at the Bank of Bob sympathize.	說起來，你藥局關門真是太可惜了。生意這麼突然沒了，一定不好受。我們鮑伯銀行深表同情。
Yeah, I'm sorry about your pharmacy. Maybe you should think about selling up and leaving town.	是啊，你藥局的事我很遺憾。也許你該考慮把店賣了，離開這個鎮子。
Well, I know you can't be coming in to make a deposit here at the Bank of Bob. No business, no money, right? Might as well be selling the old place.	嗯，我知道你不是來鮑伯銀行存款的。沒生意，沒錢，對吧？乾脆把老店賣了算了。
You know, it would be a shame if the Bank of Bob had to foreclose on your Pharmacy. Maybe you could sell it before things get that bad. I might be able to suggest an investor.	跟你說，要是鮑伯銀行不得不查封你的藥局，那就太可惜了。也許你可以趁事情惡化前先把它賣了。我或許能幫你介紹個投資人。
How about it, Freddy? Thought any more about selling that run-down store of yours?	怎麼樣啊，佛萊迪？那間破舊的店，考慮得怎麼樣了，要不要賣？
You better be selling, Pharkas. Life in the West can get downright dangerous for people who can't pay their way. I could take that place off your hands. Of course, I'd offer a fair market value. Not that that's much with the market the way it is. But the Bank of Bob wants to be fair.	你最好賣了它，法卡斯。在這西部，付不出錢的人日子可不好過。我可以幫你把那地方接手過去。當然，我會出個合理的市價。雖然照現在的行情，那也值不了多少錢。但鮑伯銀行講求公道。
Come to sell me your store yet?	考慮好要把店賣給我了嗎？
I don't do business with losers. And you're about to lose, Pharkas. Big time.	我不跟輸家做生意。而你就快要輸了，法卡斯。輸得徹底。
Please keep your grubby hands to yourself.	請把你那雙髒手管好。
(SOTTO VOCE) |c1|Yeah, how would you like me to turn your butt in to the ol' IRS, you goat!|c|	（壓低聲音） |c1|哼，你這老山羊，要不要我把你的屁股舉報給國稅局啊！|c|
Did you say something?	你說了什麼嗎？
I said, "How I would love a turn at buttoning your Old Squire's blue coat."	我是說，「真希望有機會替您那件老紳士藍外套扣扣子。」
Oh. Thank you, I'll button it myself.	喔，謝了，我自己扣就行。
Don't try to sell me any of that bilge water, Pharkas. It's chicanery, pure and simple.	別想把那種污水賣給我，法卡斯。這根本就是純粹的騙術。
This is privileged information. I shouldn't even be looking at this. Trust you to fly in the face of propriety, Pharkas.	這是機密資料。我根本不該看這個。也就只有你會這樣公然藐視規矩，法卡斯。
Take that nasty little glass away from me. It's stinking up my class establishment.	把那個噁心的小玻璃杯拿走。它把我這高檔場所都給薰臭了。
Clever, Pharkas, very clever. Hope you got a good many points for this.	聰明啊，法卡斯，真聰明。希望你這招能為你加不少分。
My anus sphincter is in perfect health, thank you very much. I move my bowels twice a day, and never strain. What's more, I find your offer most distasteful.	我的肛門括約肌好得很，謝謝關心。我一天排便兩次，從不用力。而且，我覺得你這提議相當令人反感。
You are a desperate individual, Pharkas. I do not give handouts.	你真是走投無路了，法卡斯。我可不做施捨這種事。
(UNDER BREATH) |c1|You are a swine, a cad, and a rank bounder!|c|	（低聲嘀咕） |c1|你這隻豬，無賴又下流的傢伙！|c|
What say?	你說啥？
I said, "Your fine Dad was the bank founder."	我是說，「令尊當年可是這家銀行的創辦人。」
Oh! Yes, indeed!	喔！沒錯，正是如此！
Do not attempt to threaten me with your puny ice pick, Pharkas. I have the protection of the local constabulary.	別想拿你那把破冰錐威脅我，法卡斯。我有本地警方保護。
This is trash. Away with it!	這是垃圾。拿走！
(UNDER BREATH) |c1|It's not the ONLY trash in here.|c|	（低聲嘀咕） |c1|這裡的垃圾可不只這一件。|c|
I can't hear you. What was that?	我聽不清楚。你說什麼？
I said, "There's lots of lonely cash in here."	我是說，「這裡有好多寂寞的現金呢。」
Oh. Whatever you say.	喔，隨你怎麼說。
You always were a strapping lad. Heh. heh.	你一直都是個健壯的小夥子啊。呵，呵。
Your concern is misplaced, Pharkas. I'm perfectly safe in here. You may go. And don't permit the door to strike your posterior as you depart!	你的擔心是多餘的，法卡斯。我在這裡安全得很。你可以走了。出去時，可別讓門打到你的屁股！
Are you suggesting that I need something like this? I'll have you know I never expel gas!	你是在暗示我需要這種東西嗎？告訴你，我從不放屁！
(SOTTO VOCE) |c1|Maybe you SHOULD, then, before you EXPLODE.|c|	（壓低聲音） |c1|那你或許該放一下，免得爆炸。|c|
I'm sorry, I didn't quite catch that.	抱歉，我沒聽清楚。
I'm sorry, I said, "Maybe I should spend more time in the commode."	抱歉，我是說，「也許我該多花點時間蹲馬桶。」
Oh! Well, I don't want to hear about your personal problems.	喔！好吧，我不想聽你私人的問題。
Snails? What am I supposed to do with these, deposit them? You're even more demented than I gave you credit for, Pharkas.	蝸牛？你要我拿這些做什麼，存進戶頭嗎？法卡斯，你比我想像的還要瘋。
I'd be happy to keep it safe in your Christmas Club account here at the Bank of Bob. If you'd open one, that is.	我很樂意把它安全地放進你在鮑伯銀行的聖誕俱樂部帳戶裡。前提是你得先開一個。
Beer is the beverage of morons. Take it elsewhere forthwith.	啤酒是蠢蛋的飲料。馬上拿去別處。
(SOTTO VOCE) |c1|You worthless waste of space.|c|	（壓低聲音） |c1|你這個佔位置的沒用東西。|c|
Did you just say something?	你剛剛說了什麼嗎？
I said, "Your worth is based on taste."	我是說，「你的價值，取決於品味。」
Oh. Yes, I've invested a fortune in these beautiful paintings!	喔，沒錯，我在這些美麗的畫作上投資了一大筆錢！
I don't need any of your castoffs, Pharkas. Throw them out yourself.	我不需要你那些淘汰品，法卡斯。自己拿去丟了吧。
I don't recognize that key. It certainly opens nothing around here!	我不認得那把鑰匙。反正在這裡它什麼都打不開！
(SOTTO VOCE) |c1|Like the key to your generosity.|c|	（壓低聲音） |c1|就像打開你那份大方的鑰匙一樣。|c|
Say again, please.	麻煩再說一次。
I said, "Look at me, I'm a sight to see!"	我是說，「你看看我，可真是賞心悅目啊！」
Oh. You look pretty scrawny to me.	喔，我看你倒是挺瘦弱的。
Still trying to get to the top of the ladder, eh, Pharkas? I suppose this is the only way you're going to do it.	還在想爬上梯子頂端啊，法卡斯？我看這大概是你唯一能爬上去的辦法了。
You don't have the gumption to tie me up, Pharkas.	你沒那個膽子把我綁起來的，法卡斯。
(UNDER BREATH) |c1|And I don't have enough rope, either!|c|	（低聲嘀咕） |c1|反正我繩子也不夠用！|c|
What was that? What did you say?	什麼？你剛說什麼？
I said, "You don't happen to be a dope, either."	我是說，「你倒也不像個傻瓜。」
Oh. Too true, too true! Heh, heh.	喔，說得太對了，太對了！呵，呵。
Cease your ridiculous antics, Pharkas. Do I look like a cow to you?	別再耍那些荒唐把戲了，法卡斯。我看起來像頭牛嗎？
I'm not experiencing any of the lower G.I. problems that so many of the rabble seem to be afflicted with. Therefore, feel free to take that solution elsewhere.	我可沒有那些低下階層常有的腸胃毛病。所以，這帖藥你拿去別處用吧。
That canister has no redemption value at all. But thank you so much for thinking of us here at the Bank of Bob.	那個罐子完全沒有兌換價值。不過還是很謝謝你想到我們鮑伯銀行。
I'm sorry, you backwoods pharmacist. We do not accept large deposits of baking soda!	抱歉了，鄉巴佬藥師。我們不接受大量的小蘇打存款！
(UNDER BREATH) |c1|You're full of hot air.|c|	（低聲嘀咕） |c1|你這人真是滿口廢話。|c|
Excuse me? What did you say?	你說什麼？再說一次？
I simply said, "You've got a full head of hair."	我只是說，「你的頭髮真是茂密。」
Oh. Yes, do you like it? It's imported.	喔，是啊，你喜歡嗎？這是進口貨。
Vulgar displays of pulchritude do not impress me, Pharkas.	低俗的美色炫耀，可打動不了我，法卡斯。
